AGE_GROUP,TOTALPOSITIVE,DATE,CASE_PERCENT,DEATHS,DEATHS_PERCENT,CA_PERCENT
50-64,82217,7/22/2020,19.3,1371,17.2,18.4
65,48744,7/22/2020,11.5,6052,76.1,15.6
0-17,38301,7/23/2020,8.8,0,0,22.5
18-49,262780,7/23/2020,60.4,547,6.8,43.5
50-64,84114,7/23/2020,19.3,1402,17.3,18.4
65,49648,7/23/2020,11.4,6147,75.9,15.6
0-17,39396,7/24/2020,8.8,0,0,22.5
18-49,268931,7/24/2020,60.4,567,6.9,43.5
50-64,86034,7/24/2020,19.3,1430,17.4,18.4
65,50518,7/24/2020,11.3,6245,75.8,15.6
0-17,40407,7/25/2020,8.9,0,0,22.5
18-49,274037,7/25/2020,60.4,580,6.9,43.5
50-64,87494,7/25/2020,19.3,1463,17.5,18.4
65,51190,7/25/2020,11.3,6339,75.6,15.6
0-17,41148,7/26/2020,8.9,0,0,22.5
18-49,278295,7/26/2020,60.4,585,7,43.5
50-64,88800,7/26/2020,19.3,1467,17.4,18.4
65,51772,7/26/2020,11.2,6360,75.6,15.6
0-17,41836,7/27/2020,9,0,0,22.5
18-49,282008,7/27/2020,60.4,589,7,43.5
50-64,89869,7/27/2020,19.3,1469,17.4,18.4
65,52302,7/27/2020,11.2,6378,75.6,15.6
0-17,42697,7/28/2020,9,0,0,22.5
18-49,287413,7/28/2020,60.5,606,7.1,43.5
50-64,91465,7/28/2020,19.2,1497,17.6,18.4
65,53138,7/28/2020,11.2,6413,75.3,15.6
0-17,43880,7/29/2020,9,0,0,22.5
18-49,293721,7/29/2020,60.5,626,7.2,43.5
50-64,93273,7/29/2020,19.2,1534,17.5,18.4
65,54039,7/29/2020,11.1,6591,75.3,15.6
0-17,44793,7/30/2020,9.1,0,0,22.5
18-49,298735,7/30/2020,60.5,637,7.1,43.5
50-64,94730,7/30/2020,19.2,1569,17.6,18.4
65,54743,7/30/2020,11.1,6733,75.3,15.6
0-17,45520,7/31/2020,9.1,0,0,22.5
18-49,302739,7/31/2020,60.5,649,7.1,43.5
50-64,95892,7/31/2020,19.2,1594,17.5,18.4
65,55360,7/31/2020,11.1,6851,75.3,15.6
0-17,46556,8/1/2020,9.1,0,0,22.5
18-49,308114,8/1/2020,60.5,666,7.2,43.5
50-64,97551,8/1/2020,19.2,1626,17.6,18.4
65,56206,8/1/2020,11,6959,75.2,15.6
0-17,47286,8/2/2020,9.2,1,0,22.5
18-49,311547,8/2/2020,60.5,674,7.2,43.5
50-64,98574,8/2/2020,19.1,1646,17.6,18.4
65,56786,8/2/2020,11,7004,75.1,15.6
0-17,47920,8/3/2020,9.2,1,0,22.5
18-49,314238,8/3/2020,60.5,676,7.2,43.5
50-64,99383,8/3/2020,19.1,1652,17.7,18.4
65,57247,8/3/2020,11,7019,75.1,15.6
0-17,48524,8/4/2020,9.2,1,0,22.5
18-49,317287,8/4/2020,60.5,690,7.2,43.5
50-64,100408,8/4/2020,19.1,1693,17.8,18.4
65,57847,8/4/2020,11,7135,74.9,15.6
0-17,49158,8/5/2020,9.3,1,0,22.5
18-49,320274,8/5/2020,60.4,699,7.2,43.5
50-64,101404,8/5/2020,19.1,1731,17.9,18.4
65,58458,8/5/2020,11,7228,74.8,15.6
0-17,50193,8/6/2020,9.3,1,0,22.5
18-49,325283,8/6/2020,60.4,714,7.3,43.5
50-64,102941,8/6/2020,19.1,1758,17.9,18.4
65,59282,8/6/2020,11,7333,74.8,15.6
0-17,51132,8/7/2020,9.4,1,0,22.5
18-49,329682,8/7/2020,60.4,729,7.3,43.5
50-64,104297,8/7/2020,19.1,1791,17.9,18.4
65,59954,8/7/2020,11,7459,74.7,15.6
0-17,52104,8/8/2020,9.4,1,0,22.5
18-49,334619,8/8/2020,60.4,745,7.3,43.5
50-64,105860,8/8/2020,19.1,1838,18.1,18.4
65,60829,8/8/2020,11,7587,74.6,15.6
0-17,53136,8/9/2020,9.5,1,0,22.5
18-49,339235,8/9/2020,60.4,750,7.3,43.5
50-64,107300,8/9/2020,19.1,1856,18.1,18.4
65,61464,8/9/2020,10.9,7638,74.5,15.6
0-17,54778,8/10/2020,9.5,1,0,22.5
18-49,346637,8/10/2020,60.3,750,7.3,43.5
50-64,109714,8/10/2020,19.1,1863,18.1,18.4
65,62506,8/10/2020,10.9,7657,74.5,15.6
0-17,56276,8/11/2020,9.6,1,0,22.5
18-49,353518,8/11/2020,60.3,763,7.3,43.5
50-64,111811,8/11/2020,19.1,1910,18.2,18.4
65,63617,8/11/2020,10.9,7816,74.5,15.6
0-17,57230,8/12/2020,9.6,1,0,22.5
18-49,357676,8/12/2020,60.3,769,7.2,43.5
50-64,113099,8/12/2020,19.1,1941,18.2,18.4
65,64298,8/12/2020,10.8,7953,74.6,15.6
0-17,58146,8/13/2020,9.7,1,0,22.5
18-49,362344,8/13/2020,60.3,783,7.2,43.5
50-64,114633,8/13/2020,19.1,1974,18.2,18.4
65,65116,8/13/2020,10.8,8071,74.5,15.6
0-17,59682,8/14/2020,9.7,1,0,22.5
