RACE_ETHNICITY,CASES,CASE_PERCENTAGE,DEATHS,DEATH_PERCENTAGE,PERCENT_CA_POPULATION,DATE
Asian,9512,6.9,813,14.5,15.4,6/25/2020
Black,6094,4.4,527,9.4,6,6/25/2020
Multi-Race,952,0.7,37,0.7,2.2,6/25/2020
Other,18362,13.4,52,0.9,0,6/25/2020
Latino,79934,56.8,2336,41,38.9,6/26/2020
White,23899,17,1864,32.8,36.6,6/26/2020
Asian,9647,6.9,823,14.5,15.4,6/26/2020
Black,6215,4.4,534,9.4,6,6/26/2020
Multi-Race,989,0.7,37,0.7,2.2,6/26/2020
Other,18864,13.4,57,1,0,6/26/2020
Latino,80875,56.6,2348,41.1,38.9,6/27/2020
White,24242,17,1868,32.7,36.6,6/27/2020
Asian,9724,6.8,831,14.5,15.4,6/27/2020
Black,6309,4.4,533,9.3,6,6/27/2020
Multi-Race,1019,0.7,34,0.6,2.2,6/27/2020
Other,19484,13.6,57,1,0,6/27/2020
Latino,82378,56.3,2380,41.4,38.9,6/28/2020
White,24775,16.9,1857,32.3,36.6,6/28/2020
Asian,9880,6.7,843,14.7,15.4,6/28/2020
Black,6445,4.4,544,9.5,6,6/28/2020
Multi-Race,1034,0.7,27,0.5,2.2,6/28/2020
Other,20690,14.1,57,1,0,6/28/2020
Latino,83658,55.7,2415,41.6,38.9,6/29/2020
White,25250,16.8,1871,32.2,36.6,6/29/2020
Asian,9976,6.6,848,14.6,15.4,6/29/2020
Black,6557,4.4,551,9.5,6,6/29/2020
Multi-Race,1045,0.7,27,0.5,2.2,6/29/2020
Other,22518,15,54,0.9,0,6/29/2020
Latino,86009,55.5,2456,41.6,38.9,6/30/2020
White,26127,16.9,1902,32.2,36.6,6/30/2020
Asian,10208,6.6,855,14.5,15.4,6/30/2020
Black,6774,4.4,556,9.4,6,6/30/2020
Multi-Race,1069,0.7,27,0.5,2.2,6/30/2020
Other,23472,15.2,64,1.1,0,6/30/2020
Latino,88642,55.6,2500,41.8,38.9,7/1/2020
White,26891,16.9,1923,32.1,36.6,7/1/2020
Asian,10421,6.5,859,14.4,15.4,7/1/2020
Black,6953,4.4,561,9.4,6,7/1/2020
Multi-Race,1112,0.7,28,0.5,2.2,7/1/2020
Other,23996,15.1,67,1.1,0,7/1/2020
Latino,91317,55.7,2546,41.8,38.9,7/2/2020
White,27871,17,1957,32.1,36.6,7/2/2020
Asian,10641,6.5,875,14.3,15.4,7/2/2020
Black,7144,4.4,570,9.3,6,7/2/2020
Multi-Race,1162,0.7,34,0.6,2.2,7/2/2020
Other,24585,15,68,1.1,0,7/2/2020
Latino,93556,55.6,2575,41.9,38.9,7/3/2020
White,28799,17.1,1970,32.1,36.6,7/3/2020
Asian,10826,6.4,879,14.3,15.4,7/3/2020
Black,7310,4.3,572,9.3,6,7/3/2020
Multi-Race,1187,0.7,34,0.6,2.2,7/3/2020
Other,25244,15,68,1.1,0,7/3/2020
Latino,95380,55.5,2588,42,38.9,7/4/2020
White,29598,17.2,1971,32,36.6,7/4/2020
Asian,11013,6.4,880,14.3,15.4,7/4/2020
Black,7432,4.3,572,9.3,6,7/4/2020
Multi-Race,1223,0.7,34,0.6,2.2,7/4/2020
Other,25774,15,70,1.1,0,7/4/2020
Latino,97599,55.1,2625,42.2,38.9,7/5/2020
White,30519,17.2,1992,32,36.6,7/5/2020
Asian,11219,6.3,883,14.2,15.4,7/5/2020
Black,7693,4.3,575,9.2,6,7/5/2020
Multi-Race,1252,0.7,34,0.5,2.2,7/5/2020
Other,27318,15.4,70,1.1,0,7/5/2020
Latino,98954,54.9,2660,42.3,38.9,7/6/2020
White,31221,17.3,2006,31.9,36.6,7/6/2020
Asian,11355,6.3,886,14.1,15.4,7/6/2020
Black,7869,4.4,577,9.2,6,7/6/2020
Multi-Race,1276,0.7,34,0.5,2.2,7/6/2020
Other,28058,15.6,71,1.1,0,7/6/2020
Latino,101464,54.6,2715,42.6,38.9,7/7/2020
White,32447,17.5,2026,31.8,36.6,7/7/2020
Asian,11635,6.3,892,14,15.4,7/7/2020
Black,8125,4.4,582,9.1,6,7/7/2020
Multi-Race,1332,0.7,33,0.5,2.2,7/7/2020
Other,29384,15.8,76,1.2,0,7/7/2020
Latino,104040,54.7,2808,43.1,38.9,7/8/2020
White,33275,17.5,2055,31.5,36.6,7/8/2020
Asian,11815,6.2,903,13.8,15.4,7/8/2020
Black,8336,4.4,593,9.1,6,7/8/2020
Multi-Race,1382,0.7,34,0.5,2.2,7/8/2020
Other,29919,15.7,75,1.2,0,7/8/2020
Latino,106923,54.7,2884,43.3,38.9,7/9/2020
White,34343,17.6,2089,31.4,36.6,7/9/2020
Asian,12032,6.2,912,13.7,15.4,7/9/2020
Black,8560,4.4,601,9,6,7/9/2020
Multi-Race,1429,0.7,36,0.5,2.2,7/9/2020
Other,30648,15.7,82,1.2,0,7/9/2020
Latino,109834,54.8,2941,43.6,38.9,7/10/2020
White,35378,17.6,2103,31.2,36.6,7/10/2020
Asian,12234,6.1,922,13.7,15.4,7/10/2020
Black,8777,4.4,608,9,6,7/10/2020
Multi-Race,1479,0.7,38,0.6,2.2,7/10/2020
Other,31186,15.6,81,1.2,0,7/10/2020
Latino,112854,54.8,3020,43.8,38.9,7/11/2020
White,36481,17.7,2140,31.1,36.6,7/11/2020
Asian,12473,6.1,933,13.5,15.4,7/11/2020
Black,9021,4.4,613,8.9,6,7/11/2020
Multi-Race,1531,0.7,40,0.6,2.2,7/11/2020
Other,32060,15.6,84,1.2,0,7/11/2020
Latino,115828,54.8,3029,43.8,38.9,7/12/2020
White,37400,17.7,2147,31.1,36.6,7/12/2020
Asian,12648,6,934,13.5,15.4,7/12/2020
Black,9196,4.3,615,8.9,6,7/12/2020
Multi-Race,1563,0.7,40,0.6,2.2,7/12/2020
Other,33170,15.7,84,1.2,0,7/12/2020
Latino,118368,54.7,3037,43.9,38.9,7/13/2020
White,38167,17.6,2150,31.1,36.6,7/13/2020
Asian,12866,5.9,936,13.5,15.4,7/13/2020
Black,9389,4.3,616,8.9,6,7/13/2020
Multi-Race,1587,0.7,40,0.6,2.2,7/13/2020
Other,34230,15.8,86,1.2,0,7/13/2020
Latino,122179,54.6,3091,43.9,38.9,7/14/2020
White,39528,17.7,2190,31.1,36.6,7/14/2020
Asian,13167,5.9,949,13.5,15.4,7/14/2020
